"NOM_MUNICI" "COD_MUNICI" "count"
"1" "ALTA FLORESTA D'OESTE" "1100015" 83
"2" "ARIQUEMES" "1100023" 111
"3" "CABIXI" "1100031" 8
"4" "CACOAL" "1100049" 72
"5" "CEREJEIRAS" "1100056" 16
"6" "COLORADO DO OESTE" "1100064" 5
"7" "CORUMBIARA" "1100072" 10
"8" "COSTA MARQUES" "1100080" 140
"9" "ESPIGAO D'OESTE" "1100098" 129
"10" "GUAJARA-MIRIM" "1100106" 45
"11" "JARU" "1100114" 14
"12" "JI-PARANA" "1100122" 50
"13" "MACHADINHO D'OESTE" "1100130" 152
"14" "NOVA BRASILANDIA D'OESTE" "1100148" 29
"15" "OURO PRETO DO OESTE" "1100155" 18
"16" "PIMENTA BUENO" "1100189" 82
"17" "PORTO VELHO" "1100205" 712
"18" "PRESIDENTE MEDICI" "1100254" 25
"19" "RIO CRESPO" "1100262" 10
"20" "ROLIM DE MOURA" "1100288" 28
"21" "SANTA LUZIA D'OESTE" "1100296" 10
"22" "VILHENA" "1100304" 778
"23" "SAO MIGUEL DO GUAPORE" "1100320" 67
"24" "NOVA MAMORE" "1100338" 343
"25" "ALVORADA D'OESTE" "1100346" 10
"26" "ALTO ALEGRE DOS PARECIS" "1100379" 66
"27" "ALTO PARAISO" "1100403" 61
"28" "BURITIS" "1100452" 245
"29" "NOVO HORIZONTE DO OESTE" "1100502" 11
"30" "CACAULANDIA" "1100601" 11
"31" "CAMPO NOVO DE RONDONIA" "1100700" 87
"32" "CANDEIAS DO JAMARI" "1100809" 60
"33" "CASTANHEIRAS" "1100908" 11
"34" "CHUPINGUAIA" "1100924" 48
"35" "CUJUBIM" "1100940" 134
"36" "GOVERNADOR JORGE TEIXEIRA" "1101005" 19
"37" "ITAPUA DO OESTE" "1101104" 20
"38" "MINISTRO ANDREAZZA" "1101203" 23
"39" "MIRANTE DA SERRA" "1101302" 22
"40" "MONTE NEGRO" "1101401" 39
"41" "NOVA UNIAO" "1101435" 10
"42" "PARECIS" "1101450" 42
"43" "PIMENTEIRAS DO OESTE" "1101468" 38
"44" "PRIMAVERA DE RONDONIA" "1101476" 2
"45" "SAO FELIPE D'OESTE" "1101484" 1
"46" "SAO FRANCISCO DO GUAPORE" "1101492" 92
"47" "SERINGUEIRAS" "1101500" 191
"48" "TEIXEIROPOLIS" "1101559" 4
"49" "THEOBROMA" "1101609" 9
"50" "URUPA" "1101708" 6
"51" "VALE DO ANARI" "1101757" 15
"52" "VALE DO PARAISO" "1101807" 22
"53" "ACRELANDIA" "1200013" 173
"54" "ASSIS BRASIL" "1200054" 45
"55" "BRASILEIA" "1200104" 155
"56" "BUJARI" "1200138" 50
"57" "CAPIXABA" "1200179" 68
"58" "CRUZEIRO DO SUL" "1200203" 133
"59" "EPITACIOLANDIA" "1200252" 38
"60" "FEIJO" "1200302" 65
"61" "MANCIO LIMA" "1200336" 69
"62" "MANOEL URBANO" "1200344" 98
"63" "MARECHAL THAUMATURGO" "1200351" 25
"64" "PLACIDO DE CASTRO" "1200385" 52
"65" "PORTO WALTER" "1200393" 27
"66" "RIO BRANCO" "1200401" 223
"67" "RODRIGUES ALVES" "1200427" 69
"68" "SANTA ROSA DO PURUS" "1200435" 3
"69" "SENADOR GUIOMARD" "1200450" 45
"70" "SENA MADUREIRA" "1200500" 355
"71" "TARAUACA" "1200609" 90
"72" "XAPURI" "1200708" 69
"73" "PORTO ACRE" "1200807" 58
"74" "ALVARAES" "1300029" 6
"75" "ANORI" "1300102" 1
"76" "APUI" "1300144" 174
"77" "AUTAZES" "1300300" 8
"78" "BARCELOS" "1300409" 6
"79" "BARREIRINHA" "1300508" 2
"80" "BENJAMIN CONSTANT" "1300607" 1
"81" "BERURI" "1300631" 9
"82" "BOA VISTA DO RAMOS" "1300680" 2
"83" "BOCA DO ACRE" "1300706" 340
"84" "CANUTAMA" "1300904" 47
"85" "CARAUARI" "1301001" 21
"86" "CAREIRO" "1301100" 8
"87" "CAREIRO DA VARZEA" "1301159" 9
"88" "COARI" "1301209" 26
"89" "CODAJAS" "1301308" 1
"90" "EIRUNEPE" "1301407" 31
"91" "ENVIRA" "1301506" 1
"92" "FONTE BOA" "1301605" 35
"93" "GUAJARA" "1301654" 77
"94" "HUMAITA" "1301704" 134
"95" "IPIXUNA" "1301803" 35
"96" "IRANDUBA" "1301852" 25
"97" "ITACOATIARA" "1301902" 37
"98" "ITAMARATI" "1301951" 2
"99" "ITAPIRANGA" "1302009" 4
"100" "JAPURA" "1302108" 29
"101" "JURUA" "1302207" 30
"102" "JUTAI" "1302306" 10
"103" "LABREA" "1302405" 339
"104" "MANACAPURU" "1302504" 110
"105" "MANAQUIRI" "1302553" 1
"106" "MANAUS" "1302603" 108
"107" "MANICORE" "1302702" 183
"108" "MARAA" "1302801" 8
"109" "MAUES" "1302900" 17
"110" "NHAMUNDA" "1303007" 5
"111" "NOVO AIRAO" "1303205" 43
"112" "NOVO ARIPUANA" "1303304" 62
"113" "PARINTINS" "1303403" 73
"114" "PAUINI" "1303502" 25
"115" "PRESIDENTE FIGUEIREDO" "1303536" 116
"116" "RIO PRETO DA EVA" "1303569" 7
"117" "SAO GABRIEL DA CACHOEIRA" "1303809" 16
"118" "SAO PAULO DE OLIVENCA" "1303908" 1
"119" "SAO SEBASTIAO DO UATUMA" "1303957" 4
"120" "SILVES" "1304005" 1
"121" "TABATINGA" "1304062" 14
"122" "TAPAUA" "1304104" 18
"123" "TEFE" "1304203" 17
"124" "TONANTINS" "1304237" 3
"125" "UARINI" "1304260" 11
"126" "URUCARA" "1304302" 3
"127" "URUCURITUBA" "1304401" 1
"128" "RORAIMA" "1400000" 2
"129" "AMAJARI" "1400027" 54
"130" "ALTO ALEGRE" "1400050" 40
"131" "BOA VISTA" "1400100" 103
"132" "BONFIM" "1400159" 33
"133" "CANTA" "1400175" 123
"134" "CARACARAI" "1400209" 126
"135" "CAROEBE" "1400233" 24
"136" "IRACEMA" "1400282" 42
"137" "MUCAJAI" "1400308" 128
"138" "NORMANDIA" "1400407" 19
"139" "PACARAIMA" "1400456" 33
"140" "RORAINOPOLIS" "1400472" 84
"141" "SAO LUIZ DO ANUAA" "1400505" 14
"142" "SAO JOAO DA BALIZA" "1400506" 10
"143" "SAO LUIZ" "1400605" 1
"144" "ABAETETUBA" "1500107" 13
"145" "ABEL FIGUEIREDO" "1500131" 14
"146" "ACARA" "1500206" 11
"147" "AFUA" "1500305" 11
"148" "AGUA AZUL DO NORTE" "1500347" 17
"149" "ALENQUER" "1500404" 5
"150" "ALMEIRIM" "1500503" 30
"151" "ALTAMIRA" "1500602" 430
"152" "ANAJAS" "1500701" 2
"153" "ANANINDEUA" "1500800" 29
"154" "ANAPU" "1500859" 141
"155" "AUGUSTO CORREA" "1500909" 1
"156" "AURORA DO PARA" "1500958" 3
"157" "AVEIRO" "1501006" 21
"158" "BAGRE" "1501105" 10
"159" "BAIAO" "1501204" 29
"160" "BANNACH" "1501253" 12
"161" "BARCARENA" "1501303" 18
"162" "BELEM" "1501402" 136
"163" "BELTERRA" "1501451" 10
