Municipio,CodIbge,Estado,AreaKm2,Desmatado2004,Incremento20032004,Floresta2004,Nuvem2004,NaoObservado2004,NaoFloresta2004,Hidrografia2004
São Félix do Xingu,1507300,PA,84249,12380.5,1081.7,67132.3,0,6.5,3790,939.7
Paragominas,1505502,PA,19452,7831,263.7,11578.9,0,1.4,7,33.7
Marabá,1504208,PA,15127,7110.9,246.6,7892.7,0,1.7,35.9,85.8
Juara,5105101,MT,21430,6688,317,13122.8,0,29.3,1463.3,126.6
Santana do Araguaia,1506708,PA,11607,5968.1,283.3,4764.6,0,0.3,807.1,66.9
Porto Velho,1100205,RO,34636,5884.3,761.6,27542.4,0,23.4,433.1,752.8
Cumaru do Norte,1502764,PA,17106,5719.9,400.7,9943.3,0,0.3,1442.5,0
Santa Luzia,2110005,MA,6193,5532.8,27.7,650.7,9.1,0.4,0,0
Santa Maria das Barreiras,1506583,PA,10350,5129,235.2,2655.7,0,0,2509.8,55.5
Açailândia,2100055,MA,5844,5051.5,63.4,789,2.2,1.3,0,0
Tapurah,5108006,MT,11610,5021.8,545.1,5181,0,0,1389.6,17.6
Rondon do Pará,1506187,PA,8286,4967.7,218.1,3318.3,0,0,0,0
Novo Repartimento,1505064,PA,15433,4819,461.7,9445.1,0,0.1,1,1167.8
Água Azul do Norte,1500347,PA,7586,4779.1,32.6,2677.8,0,0,129.1,0
Altamira,1500602,PA,159701,4686.9,677.2,149495.5,62.3,22.5,3765.5,1668.3
Querência,5107065,MT,17856,4675,418.4,10832.7,0,0.8,2268,79.5
Alta Floresta,5100250,MT,8955,4592.3,230.9,4064.2,0,1.6,261,35.9
Monte Alegre,1504802,PA,21701,4539,27.5,14117.3,9.2,3.8,1888.2,1143.5
Vila Bela da Santíssima Trindade,5105507,MT,13698,4506,74,2510.3,0,19.6,6589.2,72.9
Santarém,1506807,PA,22876,4317,83.6,13931.5,76.1,0.4,667.5,3883.5
Vila Rica,5108600,MT,7450,4079.1,207,3171.7,0,0,188.9,10.3
São José do Xingu,5107354,MT,7467,4062.7,42.4,3042.4,0,4.6,301.9,55.4
Itaituba,1503606,PA,62096,4045.5,277.2,56776.5,0,3.6,462.5,807.9
Juína,5105150,MT,26358,3969.9,211.3,19701.7,0,3,2643.1,40.3
São Félix do Araguaia,5107859,MT,16857,3918.9,187.9,6689.2,0,0.7,6189.4,58.8
Sorriso,5107925,MT,9350,3918.6,93.3,1315.2,0,0.7,4115.5,0
Novo Progresso,1505031,PA,38183,3879.8,740.9,30755.4,0,11,3462,74.8
Brasnorte,5101902,MT,16001,3794.8,336.4,8407.6,0,0,3765.4,33.2
Itupiranga,1503705,PA,7899,3768.8,153.7,4012,0,1,5.7,111.5
Pacajá,1505486,PA,11852,3680.7,262.1,8171.2,0,0.1,0,0
Nova Ubiratã,5106240,MT,12690,3675.8,382.6,6217.1,0,0.1,2796.5,0.5
Pontes e Lacerda,5106752,MT,8465,3611.1,25,1525.5,0,3,3325.4,0
Moju,1504703,PA,9131,3572.9,129,4209.3,2.4,1137.8,181.8,26.8
Barra do Bugres,5101704,MT,7244,3504.6,41.8,2471.6,0,0,1264.3,3.5
Goianésia do Pará,1503093,PA,7048,3428.2,126.1,3138.2,0,0.1,0,481.5
Confresa,5103353,MT,5799,3338.7,120.6,2137.7,0,0,320.5,2.1
Viseu,1508308,PA,4943,3312.5,5.8,1505.2,8.4,0.7,35.2,81
Bom Jardim,2102002,MA,6647,3271.3,139.1,3310.7,0.3,0.2,57.4,7.1
Xinguara,1508407,PA,3794,3257.3,39.2,517.8,0,0,0,18.9
Aripuanã,5101407,MT,25181,3219.3,381,21620.6,0,4.8,283,53.3
Rio Maria,1506161,PA,4123,3218,42.2,766.5,0,0,130.6,7.9
Ariquemes,1100023,RO,4480,3020.6,84.1,1369.5,0,0,89.7,0.2
Gaúcha do Norte,5103858,MT,16900,2988.5,261.3,9266.3,0,0,4614.5,30.7
Ulianópolis,1508126,PA,5115,2986.8,226.2,2128,0,0.2,0,0
Dom Eliseu,1502939,PA,5296,2948.9,91.1,2346,0,1.1,0,0
Marcelândia,5105580,MT,12294,2943.8,281.7,9111.6,0,4.1,218.7,15.8
Conceição do Araguaia,1502707,PA,5848,2877.5,62.8,980,0,0.3,1867.5,122.7
Nova Canaã do Norte,5106216,MT,5975,2803.7,95.4,2073.5,0,0,1061.2,36.6
Peixoto de Azevedo,5106422,MT,14402,2778,146.5,10372.8,0,2.9,1173,75.3
Comodoro,5103304,MT,21849,2776.9,130.1,9267.3,0,16.2,9785.7,2.9
Rio Branco,1200401,AC,9509,2760.4,132.6,6748.5,0,0.1,0,0
Barra do Corda,2101608,MA,8054,2752.6,48.3,2795.4,0,1.1,2498.9,6
Tomé-Açu,1508001,PA,5168,2741.6,51.5,2273.7,0,152.7,0,0
Piçarra,1505635,PA,3324,2715.2,83.7,541.3,0,0,0,67.5
Nova Mutum,5106224,MT,9546,2702.7,191.7,3467.5,0,0.6,3368.6,6.6
Araguaína,1702109,TO,4019,2640.8,8.4,454.3,0,0.7,900.3,22.9
Redenção,1506138,PA,3830,2623.5,12.2,500.8,0,0.1,705.6,0
Porto dos Gaúchos,5106802,MT,7016,2612.3,288,4332.2,0,0.1,48.5,22.9
Jaru,1100114,RO,2976,2587.3,16.9,343.8,0,0.1,44.8,0
Nova Maringá,5108907,MT,11528,2581.2,443.2,8246.9,0,0.9,690.8,8.2
Bom Jesus do Araguaia,5101852,MT,4282,2580.4,66.9,1322.4,0,1.2,376.2,1.8
Ji-Paraná,1100122,RO,6955,2575,15.9,4277.8,0,2.2,65.6,34.4
Eldorado dos Carajás,1502954,PA,2967,2535.2,77,431.8,0,0,0,0
Chupinguaia,1100924,RO,5163,2500.3,85.7,2332.9,0,0,329.4,0.4
São Geraldo do Araguaia,1507458,PA,3283,2485.8,35,451.4,0,0,313.9,31.9
Lábrea,1302405,AM,69669,2479.7,359.8,64941.1,0,9.6,1792.2,446.4
Colíder,5103205,MT,3038,2469.6,11.1,562.3,0,0,2.4,3.7
Capitão Poço,1502301,PA,2924,2467.5,36.3,0,0,457.9,0,0
Breu Branco,1501782,PA,3950,2440.6,97.5,1248.7,0.1,0.2,0.9,259.5
Cacoal,1100049,RO,3820,2427.8,43.9,1359.9,0,0,26.4,5.9
Ipixuna do Pará,1503457,PA,5245,2424.3,78.3,2784.9,0,1,6.8,28
Uruará,1508159,PA,10794,2414.5,119.5,8371.8,3.7,3.8,0,0.2
Nova Monte Verde,5108956,MT,6512,2361.8,194.3,3992,0,0,150.3,7.9
Itinga do Maranhão,2105427,MA,3612,2355.3,122.6,1256.6,0,0,0,0.1
Colniza,5103254,MT,28134,2329.6,568.2,25427,0,10.8,310.6,56
Castanheira,5102850,MT,3963,2319.3,93.9,1610.7,0,1,3.3,28.7
Machadinho d'Oeste,1100130,RO,8589,2274.8,184.5,5876.5,0,0,380.3,57.4
Nova Bandeirantes,5106158,MT,9561,2272.6,377.7,7069,0,1.1,91.1,127.2
Santa Terezinha,5107776,MT,6463,2268.8,98.4,2899.4,0,0.2,1245.9,48.7
Tucumã,1508084,PA,2513,2214.5,10.3,290.3,0,0.5,0,7.7
Novo Mundo,5106265,MT,5801,2181.4,89,3065.1,0,0.3,536,18.2
Guarantã do Norte,5104104,MT,4717,2157.1,71.4,1835.1,0,0,724.6,0.2
Nova Mamoré,1100338,RO,10244,2149.8,332.3,6691.4,0,3.4,1356.6,42.8
Tangará da Serra,5107958,MT,11596,2143.3,4.2,661.6,0,0,8790.1,1
Pimenta Bueno,1100189,RO,6284,2141,107.7,3087,0,0,1050.5,5.5
Tabaporã,5107941,MT,8233,2135,205.2,3851.2,0,0.7,2239.6,6.5
Brasil Novo,1501725,PA,6370,2128.8,59.1,4190.1,44.9,0,0.1,6.1
Corumbiara,1100072,RO,3082,2095.1,9.2,889.5,0,0,97.4,0
Acará,1500206,PA,4363,2087.3,72.9,0,0,2241,27.1,9.2
Alta Floresta d'Oeste,1100015,RO,7138,2085.4,77.3,3316.6,0,6.1,1706.4,23.5
Cáceres,5102504,MT,24446,2040.8,38.6,1786.2,0,1331.4,18192,1095.6
Curionópolis,1502772,PA,2375,2034,6.4,334.6,0,1.7,4.7,0
Centro Novo do Maranhão,2103174,MA,8366,2027.7,112.2,6335.3,0.2,0,0,2.8
Bom Jesus das Selvas,2102036,MA,2700,1990.7,107.6,709.3,0,0,0,0
Espigão d'Oeste,1100098,RO,4549,1982.8,52.7,2269.8,0,0,295.9,0.5
Sinop,5107909,MT,3193,1981.5,115.6,1167.5,0,0,29.2,14.8
Amarante do Maranhão,2100600,MA,7737,1977,38.2,4060.7,8.2,6.3,1684.8,0
São Miguel do Guaporé,1100320,RO,8102,1960.8,91.7,4341.4,0,0.1,1799.7,0
Zé Doca,2114007,MA,2435,1904.1,26,526.3,4.3,0.3,0,0
Paranaíta,5106299,MT,4833,1902.2,209.5,2841.3,0,1.6,31.6,56.3
Turiaçu,2112407,MA,2601,1887.3,2.7,559,39.3,1.3,48.2,65.9
Terra Nova do Norte,5108055,MT,2303,1869.9,23.2,429.6,0,0,3.5,0
Bannach,1501253,PA,2963,1867,54.3,1033.9,0,0,62.1,0
Alto Alegre do Pindaré,2100477,MA,1951,1856.3,3.8,41.6,0,0.4,52.7,0
Poxoréo,5107008,MT,6923,1844.7,1.3,108.7,0,0,4969.6,0
Paranatinga,5106307,MT,24185,1844.2,107,5667.4,0,5.5,16659.9,8
