Municipio	CodIbge	AreaKm2	Desmatado	Floresta
São Félix do Xingu	1507300	84249	14550.5	64962.1
Paragominas	1505502	19452	8256	8723.4
Marabá	1504208	15127	7495.8	7392.4
Juara	5105101	21430	7290.2	12515.8
Porto Velho	1100205	34636	6909.4	26503.6
Santana do Araguaia	1506708	11607	6589	4143.7
Cumaru do Norte	1502764	17106	6475.3	9031.7
Santa Luzia	2110005	6193	5545.6	523.8
Altamira	1500602	159701	5517	144160.4
Santa Maria das Barreiras	1506583	10350	5491.5	2287.2
Novo Repartimento	1505064	15433	5433.8	8786.8
Tapurah	5108006	11610	5392	4810.8
Rondon do Pará	1506187	8286	5191.1	3059.2
Açailândia	2100055	5844	5149.3	667.4
Querência	5107065	17856	4905.5	10587
Água Azul do Norte	1500347	7586	4886.8	2452.7
Alta Floresta	5100250	8955	4813.2	3789.9
Monte Alegre	1504802	21701	4640.9	11361.8
Vila Bela da Santíssima Trindade	5105507	13698	4600	2416.3
Santarém	1506807	22876	4409.5	11507.8
Vila Rica	5108600	7450	4400.3	2850.5
Novo Progresso	1505031	38183	4362.2	30225.9
Itaituba	1503606	62096	4262.5	54709.6
Juína	5105150	26358	4185.7	19485.9
Pacajá	1505486	11852	4172.5	6448.1
São José do Xingu	5107354	7467	4161.4	2943.7
São Félix do Araguaia	5107859	16857	4133.3	6471.7
Brasnorte	5101902	16001	4100.7	8093.4
Itupiranga	1503705	7899	4028.7	3744.1
Nova Ubiratã	5106240	12690	4004.1	5888.8
Sorriso	5107925	9350	3969.2	1264.6
Moju	1504703	9131	3763	2746.2
Pontes e Lacerda	5106752	8465	3671.9	1463.6
Aripuanã	5101407	25181	3603.6	21193.2
Barra do Bugres	5101704	7244	3559.8	2414.3
Goianésia do Pará	1503093	7048	3551	2978.3
Confresa	5103353	5799	3549.5	1926.9
Viseu	1508308	4943	3372.2	1301.6
Bom Jardim	2102002	6647	3367.6	2229.3
Xinguara	1508407	3794	3340.6	434.4
Rio Maria	1506161	4123	3319.4	662.8
Gaúcha do Norte	5103858	16900	3216.7	9038.1
Dom Eliseu	1502939	5296	3195.4	2092.8
Ulianópolis	1508126	5115	3180.3	1744.7
Marcelândia	5105580	12294	3151.7	8903.7
Ariquemes	1100023	4480	3122.8	1267.1
Peixoto de Azevedo	5106422	14402	3090.5	10060.3
Colniza	5103254	28134	3064.2	24300.1
Nova Maringá	5108907	11528	3008.8	7819.3
Conceição do Araguaia	1502707	5848	2968.2	889.3
Lábrea	1302405	69669	2926.2	64270.5
Nova Canaã do Norte	5106216	5975	2906.8	1970.4
Comodoro	5103304	21849	2905.4	9138.8
Rio Branco	1200401	9509	2896.6	6598
Porto dos Gaúchos	5106802	7016	2876	4068.5
Barra do Corda	2101608	8054	2843.2	2703.7
Piçarra	1505635	3324	2839.6	416.9
Tomé-Açu	1508001	5168	2819.5	2159.8
Nova Mutum	5106224	9546	2813.3	3356.9
Nova Bandeirantes	5106158	9561	2693.2	6648.4
Araguaína	1702109	4019	2670.2	424.9
Bom Jesus do Araguaia	5101852	4282	2667.5	1235.3
Redenção	1506138	3830	2640.5	468.1
Machadinho d'Oeste	1100130	8589	2633.9	5511
Uruará	1508159	10794	2624	6277.5
Eldorado dos Carajás	1502954	2967	2610.7	356.3
Jaru	1100114	2976	2605.7	325.4
Chupinguaia	1100924	5163	2594.3	2238.9
Ji-Paraná	1100122	6955	2593	4259.8
Breu Branco	1501782	3950	2542	932.7
Nova Mamoré	1100338	10244	2541	6295
Ipixuna do Pará	1503457	5245	2536	2548.2
Capitão Poço	1502301	2924	2532	0
São Geraldo do Araguaia	1507458	3283	2511	426.2
Nova Monte Verde	5108956	6512	2509	3844.8
Colíder	5103205	3038	2486.7	545.2
Cacoal	1100049	3820	2471.5	1316.2
Itinga do Maranhão	2105427	3612	2464	1107.1
Santa Terezinha	5107776	6463	2435.7	2732.5
Castanheira	5102850	3963	2430	1500
Tabaporã	5107941	8233	2377.1	3609.1
Novo Mundo	5106265	5801	2350.2	2896.3
Brasil Novo	1501725	6370	2292.8	1237.1
Guarantã do Norte	5104104	4717	2276.7	1715.5
Pimenta Bueno	1100189	6284	2269	2959
Tucumã	1508084	2513	2244	218.1
Alta Floresta d'Oeste	1100015	7138	2188.1	3213.9
Centro Novo do Maranhão	2103174	8366	2177.9	3818.3
Acará	1500206	4363	2177.6	0
Tangará da Serra	5107958	11596	2151.8	644.7
Cáceres	5102504	24446	2140.6	1686.4
Corumbiara	1100072	3082	2136.1	848.5
Paranaíta	5106299	4833	2110.5	2633
Amarante do Maranhão	2100600	7737	2098.3	3769.9
Espigão d'Oeste	1100098	4549	2053.8	2198.8
São Miguel do Guaporé	1100320	8102	2053.6	4237.3
Bom Jesus das Selvas	2102036	2700	2051	647.3
