Municipio,CodIbge,Estado,Desmatado2010,Incremento20092010,Floresta2010,Nuvem2010,NaoObservado2010,NaoFloresta2010,Hidrografia2010
São Félix do Xingu,1507300,PA,16989.9,353.8,59390.7,3125.9,11.5,3791.3,939.7
Paragominas,1505502,PA,8601.8,68.2,10029.3,776,4.1,7.1,33.7
Marabá,1504208,PA,8203.2,79.6,6766.4,31.4,5.2,35,85.8
Porto Velho,1100205,RO,7799.6,135.5,25574.8,48.8,27.4,432.6,752.8
Juara,5105101,MT,7566.2,14.8,10368.3,1911.6,0.3,1457,126.6
Santana do Araguaia,1506708,PA,7069.2,40.3,3661.6,0,0.3,809,66.9
Cumaru do Norte,1502764,PA,7034,43.2,8488.5,141.3,0.7,1441.5,0
Altamira,1500602,PA,6817.4,196,146978,446.6,25.2,3765.5,1668.3
Novo Repartimento,1505064,PA,6673.7,224.1,7586.4,0.5,3.6,1,1167.8
Santa Maria das Barreiras,1506583,PA,5791.4,47.7,1997.5,0,0,2505.6,55.5
Tapurah,5108006,MT,5710.8,96.4,4492,0.4,0,1389.2,17.6
Santa Luzia,2110005,MA,5649.8,7.4,541.3,1.2,0.7,0,0
Rondon do Pará,1506187,PA,5415,53.2,2864,5.6,1.4,0,0
Novo Progresso,1505031,PA,5314.1,50.4,29016.8,306.7,13.9,3456.7,74.8
Açailândia,2100055,MA,5278.6,14.6,561.7,1.8,1.9,0,0
Querência,5107065,MT,5046.9,22.7,10459,0,0.8,2269.8,79.5
Pacajá,1505486,PA,4977.2,274.7,5936.9,934.3,3.6,0,0
Água Azul do Norte,1500347,PA,4968.4,7.7,2484.4,3.1,1.1,129,0
Alta Floresta,5100250,MT,4900.3,3,3753,0,1.6,264.2,35.9
Monte Alegre,1504802,PA,4802.7,50.9,8583.9,5278.4,2.6,1889.9,1143.5
Itaituba,1503606,PA,4794.4,91.4,53335.8,2688.6,6.5,462.8,807.9
Vila Bela da Santíssima Trindade,5105507,MT,4707.5,26.3,2303.4,0,28.3,6585.9,72.9
