Municipio	AreaKm2	CodIbge	Desmatado	Floresta
Abaetetuba	1617	1500107	689.4	495.6
Abel Figueiredo	617	1500131	565.5	51.3
Abreulândia	1899	1700251	7.4	46.1
Açailândia	5844	2100055	5278.6	561.7
Acará	4363	1500206	2306.5	1560.5
Acorizal	842	5100102	0	0
Acrelândia	1610	1200013	896.9	710.2
Afonso Cunha	378	2100105	0	0
Afuá	8382	1500305	28.4	2862.2
Água Azul do Norte	7586	1500347	4968.4	2484.4
Água Boa	7486	5100201	37	121.7
Água Doce do Maranhão	451	2100154	0	0
Aguiarnópolis	237	1700301	106.9	22.2
Alcântara	1502	2100204	907.8	83.4
Aldeias Altas	1973	2100303	0	0
Alenquer	22275	1500404	1351.7	14557.9
Aliança do Tocantins	1587	1700350	0	0
Almas	4048	1700400	0	0
Almeirim	72969	1500503	1742.1	46710.3
Alta Floresta	8955	5100250	4900.3	3753
Alta Floresta d'Oeste	7138	1100015	2237.5	3159.4
Altamira	159701	1500602	6817.4	146978
Altamira do Maranhão	677	2100402	677.5	0
Alto Alegre	25870	1400050	744.4	5230.5
Alto Alegre do Maranhão	424	2100436	193.4	0
Alto Alegre do Pindaré	1951	2100477	1866.6	25.7
Alto Alegre dos Parecis	3993	1100379	1287.5	1762
Alto Araguaia	5545	5100300	0	0
Alto Boa Vista	2242	5100359	1145.6	519.7
Alto Garças	3657	5100409	0	0
Alto Paraguai	2054	5100508	423	124.7
Alto Paraíso	2681	1100403	1668	995
Alto Taquari	1397	5100607	0	0
Alvarães	6029	1300029	318.4	5543.8
Alvorada	1216	1700707	0	0
Alvorada d'Oeste	3060	1100346	1365.4	870.3
Amajari	28788	1400027	306.1	7922.2
Amapá	9185	1600105	108.2	1981
Amapá do Maranhão	446	2100550	355	84.9
Amarante do Maranhão	7737	2100600	2259.7	3777.2
Amaturá	4904	1300060	112.6	4206.3
Anajás	6939	1500701	175.5	4775.6
Anajatuba	1132	2100709	415.1	35.6
Anamã	2474	1300086	196.4	694.6
Ananás	1596	1701002	1158.5	192.6
Ananindeua	185	1500800	87.5	75.8
Anapu	11909	1500859	2014.8	7284.4
Anapurus	620	2100808	0	0
Angico	441	1701051	198	30.8
Anori	5850	1300102	79.3	3351.3
Aparecida do Rio Negro	1166	1701101	0	0
Apiacás	20402	5100805	2066.9	16449.4
Apicum-Açu	655	2100832	206.4	210.6
Apuí	54481	1300144	1728	51149.9
Aragominas	1179	1701309	1006.4	145.7
Araguacema	2787	1701903	53.1	419.5
Araguaçu	5181	1702000	0	4.5
Araguaiana	6421	5101001	832.4	486
Araguaína	4019	1702109	2679.4	415.4
Araguainha	688	5101209	0	0
Araguanã	810	2100873	754.1	38.9
Araguanã	837	1702158	742.2	68.1
Araguatins	2640	1702208	1811.1	219.8
Arame	3075	2100956	1791.3	942.2
Arapoema	1558	1702307	1462.1	73
Araputanga	1608	5101258	1226.7	345.8
Arari	1116	2101004	408.4	37.3
Area nao mapeada pelo Prodes	55592	2114999	0	4.4
Arenápolis	413	5101308	367.6	45.4
Aripuanã	25181	5101407	3841.8	20996.2
Ariquemes	4480	1100023	3176.1	1213.8
Arraias	5827	1702406	0	0
Assis Brasil	2986	1200054	144.1	2809.5
Atalaia do Norte	80044	1300201	235.5	76034.9
Augustinópolis	417	1702554	400.6	15.7
Augusto Corrêa	1101	1500909	731.1	255.2
Aurora do Pará	1824	1500958	1536	181.2
Aurora do Tocantins	756	1702703	0	0
Autazes	7634	1300300	1219.8	857.6
Aveiro	17094	1501006	1140.4	13010.2
Axixá	205	2101103	29.9	117.4
Axixá do Tocantins	151	1702901	139.7	11.3
Babaçulândia	1796	1703008	3.2	0
Bacabal	1707	2101202	1203.8	0
Bacabeira	624	2101251	91	192.2
Bacuri	794	2101301	501	128.3
Bacurituba	685	2101350	16.4	23.5
Bagre	4402	1501105	199.1	3503.7
Baião	3766	1501204	1571.6	1483.4
Balsas	13258	2101400	0	1.1
Bandeirantes do Tocantins	1678	1703057	1627.1	50.5
Bannach	2963	1501253	2130.3	768.9
