CodIbge	multas2006	multas2007	multas2008	multas2009	multas2010	multas2011
1100015	19	26	15	9	7	4
1100023	3	53	11	39	2	1
1100031	2	2	1	NA	2	1
1100049	24	15	19	9	NA	5
1100056	7	5	2	NA	1	NA
1100064	5	NA	NA	NA	NA	NA
1100072	3	NA	6	1	NA	NA
1100080	33	26	47	15	13	3
1100098	17	12	18	15	55	12
1100106	1	4	34	2	1	3
1100114	3	5	1	2	2	1
1100122	17	7	16	6	NA	2
1100130	33	12	81	9	16	NA
1100148	1	4	22	1	1	NA
1100155	6	3	2	2	3	1
1100189	20	11	29	8	3	7
1100205	59	152	128	118	64	166
1100254	9	1	14	1	NA	NA
1100262	NA	3	3	4	NA	NA
1100288	6	5	11	4	1	NA
1100296	4	NA	3	2	1	NA
1100304	90	55	158	352	108	12
1100320	6	21	12	8	12	6
1100338	4	42	239	17	16	24
1100346	2	4	2	NA	NA	2
1100379	7	21	23	9	5	1
1100403	1	21	6	31	NA	1
1100452	1	67	29	101	NA	45
1100502	NA	1	1	NA	3	2
1100601	2	3	4	2	NA	NA
1100700	NA	16	57	11	NA	3
1100809	8	6	2	9	33	1
1100908	4	1	4	NA	2	NA
1100924	8	20	11	2	1	6
1100940	6	4	72	49	1	2
1101005	2	15	2	NA	NA	NA
1101104	4	12	1	NA	1	2
1101203	8	2	5	6	1	1
1101302	7	9	3	2	1	NA
1101401	1	25	11	2	NA	NA
1101435	4	4	NA	1	1	NA
1101450	10	13	10	6	NA	2
1101468	19	5	1	4	3	3
1101476	2	NA	NA	NA	NA	NA
1101484	NA	NA	1	NA	NA	NA
1101492	11	39	23	2	8	7
1101500	6	175	6	1	NA	3
1101559	2	1	1	NA	NA	NA
1101609	3	1	4	NA	1	NA
1101708	3	1	1	NA	1	NA
1101757	NA	NA	13	2	NA	NA
1101807	3	NA	1	NA	18	NA
1200013	2	128	14	2	9	17
1200054	3	13	8	NA	21	NA
1200104	10	73	18	6	36	11
1200138	NA	4	NA	5	36	4
1200179	NA	42	NA	3	22	1
1200203	2	52	4	24	27	17
1200252	7	15	8	1	1	5
1200302	NA	16	8	4	28	9
1200336	1	25	13	5	20	2
1200344	30	33	6	11	8	9
1200351	NA	2	15	7	NA	1
1200385	2	35	1	NA	14	NA
1200393	NA	22	1	1	2	1
1200401	13	82	17	28	53	15
1200427	1	28	NA	2	28	6
1200435	NA	NA	1	NA	NA	2
1200450	1	25	1	1	16	1
1200500	10	97	86	40	60	62
1200609	24	37	6	17	4	NA
1200708	12	40	12	3	NA	2
1200807	3	4	4	1	24	22
1300029	NA	NA	1	2	3	NA
1300102	NA	NA	NA	NA	NA	NA
1300144	41	36	19	10	14	45
1300300	1	2	3	NA	NA	NA
1300409	NA	4	2	NA	NA	NA
1300508	NA	1	1	NA	NA	NA
